Name,3-gram 1,3-gram  2,3-gram  3,3-gram  4,3-gram  5
B-Seite,hoobs accessory configfile,fix json error,configfile fix json,add hoobs accessory,accessory configfile fix
Bangqi Xu,pa initial fix,pa in dr,mincut honor pa,macro pa initial,initial fix for
Bao Hoang,merge pull request,from bghoangmasterfix style,request 75 from,pull request 75,style of form
Ben Godfrey,that are implemented,remove functions from,implemented by other,gtkalerter that are,functions from gtkalerter
Ben Gunn,work with both,with both fractal,to work with,fractal and drupal,component to work
Ben Parli,update tokioasync fix,update tokio 4,tokioasync fix config,tokio 4 update,syncing bump version
Ben Rousch,to google plus,remove references to,references to google,plus it is,it is dead
Benjamin Russell,that broken test,text information frame,test for text,information frame encoding,for text information
Benjamin Spain,version of the,wip padding to,verify fixes text,unique key message,to support nav
Bernhard M. Wiedemann,user stagingbotautomatic update,update 000releasepackages to,to rev 377httpsbuildopensuseorgpackagerdiffopensusefactory000releasepackageslinkrevbaserev377by,rev 377httpsbuildopensuseorgpackagerdiffopensusefactory000releasepackageslinkrevbaserev377by user,377httpsbuildopensuseorgpackagerdiffopensusefactory000releasepackageslinkrevbaserev377by user stagingbotautomatic
Binish Maharjan,merge pull request,request 31 from,pull request 31,up to storyboard,sign up to
Birger J. Nordølum,update hammerspoon from,to 0977 74929,hammerspoon from 0976,from 0976 to,0976 to 0977
Birgerev,position and asynced,cached block position,block position and,asynced light updates,and asynced light
Bitnami Containers,image updated to,component image updated,bitnami containers containersbitnamicom,updated to bitnamiprometheus2151r5signedoffby,updated to bitnamigrafana652r15signedoffby
Bjoern Kerler,merge pull request,request 31 from,pull request 31,x2 decryption key,realme x2 decryption
Blandine12,merge pull request,teamfibonaccijsday55working on new,request 24 from,pull request 24,on new counter
Brad,merge pull request,request 17 from,pull request 17,request 16 from,pull request 16
Brad Anderson,starts inside a,prevents a nav,nav mesh link,mesh link from,link from getting
Brandon Cheng,version to 20191229,travis ci rust,rust version to,ci rust version,bump travis ci
Brandon Li,update hadoopcommonchangestxt for,update changestxtgitsvnid httpssvnapacheorgreposasfhadoopcommontrunk1558953,to branch2 update,in branch23gitsvnid httpssvnapacheorgreposasfhadoopcommontrunk1559286,hadoopcommonchangestxt for hadoop10112
Brayden Marshall,went through entire,vimrc and tweaked,vim options and,tweaked settings check,through entire vimrc
Brokalys bot,price per sqm,per sqm data,monthly price per,sqm data house,riga 20191201 20191231
Bruno S Bertolani,routes models and,moduleupdate routes models,checkin moduleupdate routes,add checkin moduleupdate,models and databaseremoved
CheeseInTheDark,power is no,no adjustable by,is no adjustable,gun power is,by the driver
Chris Danis,ua running on,traffic from one,search api traffic,running on awsthis,reverts commit 5b1adde31e76da719f7a12211f9df6f20bd26b25and
Chris Nauroth,by chris naurothgitsvnid,contributed by chris,windows build instructions,vinaygitsvnid httpssvnapacheorgreposasfhadoopcommonbrancheshdfs46851559793 13f7953547bb03109956ffa450edef68,state requirement of
Christopher Davis,merge pull request,request 23 from,pull request 23,images for later,from dragonquillsadddefaultimagesadds default
Christopher Degawa,to fix conflicting,in enc and,globals in enc,fix conflicting globals,enc and dec
Christopher M. Cantalupo,m cantalupo christophermcantalupointelcom,christopher m cantalupo,with structurs owned,trying to get,to reporter and
Codus1127,merge pull request,request 51 from,pull request 51,from lazycoders1codysbranchcodys branch,51 from lazycoders1codysbranchcodys
Colin McCabe,space in edit,section cmccabegitsvnid httpssvnapacheorgreposasfhadoopcommontrunk1558974,reserve space in,log header and,in edit log
Cory Henderson,merge pull request,request 21 from,pull request 21,request for rooms,from cory0sjoinselectaxios request
CrazyJ36,uniform names across,toshiba rename installlisttoshibatxt,rename installlisttoshibatxt for,names across folders,installlisttoshibatxt for uniform
Damian Morgan,the rest of,updated the rest,the c topics,rest of the,of the c
Damien Elmes,work around poetry,to work around,so fails to,req completely to,pypi so fails
DanX27,january 2020 014458,idejű blyyy menetrend,cet idejű blyyy,blyyy menetrend változat,2020 014458 cet
Daniel,working gui not,not amazing but,gui not amazing,but its there,amazing but its
Daniel Bennett,to dramatically speed,strongs words gradually,speed load times,speed by loading,show next and
Danilo Margarido,versions i want,variables and some,upgrade to 1904,unused variables and,travis comment unused
Dante19980224,this one and,see the difference,regular react and,react and see,postpone this one
Darnell,when follows and,submissions can occur,score submissions can,on when follows,limits on when
Daryn Sharp,workaround jdk7 process,process fd close,jdk7 process fd,hadoop10146 workaround jdk7,fd close bug
Dave Halter,work see 860,to get completions,sure to get,some more clarifications,more clarifications around
Dave Kelly,the ability to,values for the,to specify multiple,to be specified,the same configuration
Dave Thomas,testing and committed,importexperts to firestore,finalized testing and,committed importexperts to,and committed importexperts
David Cohen,merge pull request,request 20 from,pull request 20,from enmotusdavecohenmastermerge pull,enmotusdavecohenmastermerge pull request
David Cornelis Groothuizen Dijkema,to avoid generating,rules to avoid,recursion rules to,random integer between,integer between 1
David Haywood,new working clones,working clones gunnail,working clones 6115,trap15 ill do,test cpsystem3 trap15
David Liman,p child nodes,nodes as newline,handle each p,each p child,child nodes as
David Sandberg,use int64 in,to allow larger,intcodecomputer to allow,int64 in intcodecomputer,in intcodecomputer to
Dean Rexines,unet decaying lr,scripts saving model,saving model in,refine unet decaying,model in pb
Deep Bhattacharyya,merge pull request,request 9 from,pull request 9,from deeplydiligentdeepmessengermobilemessenger mobile,deeplydiligentdeepmessengermobilemessenger mobile mode
Delfio,tabelas e funções,novas tabelas e,nos index e,index e novas,e novas tabelas
Derek Shigetomi,to about me,tilt effect to,effect to about,added tilt effect,about me image
Devin Fitzsimons,merge pull request,request 1 from,pull request 1,from 412 to,handlebars from 412
Devin Halladay,user auth part,part 1 working,issues get user,get user auth,fix issues get
Devin Jolly (Lightling),to item drops,tweaked scene settings,subtle shading to,shading to item,scale animation to
Diversity Timestamping Service,up to 20200101,to 20200101 002337,timestamped commits up,newly timestamped commits,commits up to
Dominik Wilkowski,updated dependencies fixed,scriptsignedoffby dominik wilkowski,nuke scriptsignedoffby dominik,fixed nuke scriptsignedoffby,dominik wilkowski hidominikwilkowskicom
Don McCaughey,wrap to 80,with cevox and,tocevoxorg reformatted changed,to wrap to,to cevox in
Eddie Gomez,with brad dec,variable to const,var variable to,update to date,to date with
Eddie Gómez,merge pull request,request 20 from,pull request 20,request 19 from,pull request 19
Edwin Lee,as well as,well as plugin,to memory management,plugin method form,memory management as
Egor Kostan,update readmemdnoheadingpunctuation don’t,trailing to headings,readmemdnoheadingpunctuation don’t add,don’t add a,add a trailing
Elbert Alias,merge pull request,request 2853 from,pull request 2853,from fazlurrmasteradd orderonline,fazlurrmasteradd orderonline app
Eldinnie,merge pull request,request 6 from,pull request 6,newstuff into master,mcchewnewstuffmerge newstuff into
Eloy Durán,those also enable,test fix failure,symbolicating errors at,semver pkg again,scripts because those
Emad Alharbi,updatedremove files to,to publish in,publish in maven,in maven repo,files to publish
Emilio,to the article,the border to,the article so,that i can,style it more
Eniola Oyewole,be able to,to be able,the option to,option to be,login capabilityadded the
Eric Liu,merge pull request,use css to,unselect eventsremove onchange,to ensure maxheight,the fold slotsremove
Eric Marty,workouts exercises entries,users workouts exercises,tables users workouts,schema and generate,generate eer diagram
Erik Alfvin,sizes for mobile,size fixed shaking,simulation box size,responsive orbit simulation,responsive header sizes
Erik Wramner,merge pull request,wrong set options,with container name,use docker inspect,to configure srs
Florian Seidl -Schulz,work now and,version0659satellites work now,upon orbitals and,still do not,shoot down launched
Flutterlice,wrong url in,using config url,url instead of,url in activity,repository using config
Franck Nijhof,to asyncawait 30336,tests from coroutine,migrate input tests,input tests from,from coroutine to
Fred Eisele,not found when,found when the,wherever there was,to handle the,there was a
Fred Wright,with python 3x,which was desupportedas,was desupportedas of,v3000testedpasses port lint,v3000testedpass port lint
GAierken,user id attributes,review likes dilikes,museum id user,likes dilikes serializer,id user id
Gabriel Chen,merge pull request,request 2 from,pull request 2,request 3 from,pull request 3
Gabriela Voll,with the help,updated readme and,times out eventually,the help of,the curl times
Garfield69,being marked as,with deluge and,which returns undefinedstate,when removing torrentsand,what it should
Gary,merge pull request,static html for,html for accessibility,for accessibility valid,accessibility valid html
Gary Ritchie,static html for,html for accessibility,for accessibility valid,accessibility valid html,with samp element
George Liu,centminsh menu option,menu option 15,too low for,to be working,still needs work
Gihan Ayeshmantha,merge pull request,request 3 from,pull request 3,request 4 from,pull request 4
GihanAyesh,merge branch master,branch master of,of httpsgithubcomgreatwhitesharkshrmsystem into,httpsgithubcomgreatwhitesharkshrmsystem into gihan,merge branch gihan
Goffin Simon,your user u,with u create,with a lang,was sent in,vopw2155628closes odooodoo42536signedoffby simon
Grant,trying to add,to add separate,separate logic for,names and moved,moved functions to
Greg Fodor,look and feel,hubs cloud look,cloud look and,and feel doc,added hubs cloud
Gregory O,merge pull request,request 3 from,pull request 3,request 4 from,pull request 4
Guangning,verifying this change,motivation the current,will show that,will detect that,to prevent bookie
Guilherme,the last index,some array by,last index in,last index from,index in arrayfind
Guligena Aierken,merge pull request,request 20 from,pull request 20,gaierkenhtmldelete for review,from gaierkenhtmldelete for
Hac,to css buttons,reskin 2nd passupdates,queries artist post,passupdates to css,mobile media queries
Hampus,so that it,update readmemdchanged so,that it is,readmemdchanged so that,it is clearer
Haohui Mai,by chris naurothgitsvnid,contributed by chris,to permissions contributued,to enforce acls,permissions contributued by
HappyTreeBeard,conventionuse 2 digit,2 digit days,update file naming,update file name,naming conventionuse 2
Harsh Patel,js and css,day 02 js,css clock completed,and css clock,02 js and
Haseeb Majid,replaced it with,for this change,x improvement new,with eslint as,will be deprecated
Helmasaur,🥅 error code,✏️ readme update,zeste de savoir,updated close 29,update typographic corrections
Hironsan,move tests to,unit and integration,tests to it,testing and move,test for organismsprojectdeletionform
Hong Xu,so that it,use durable functions,tune code for,total message count,to the common
Hubert Maraszek,nonsensical shader pairs,currently nonsensical shader,compile currently nonsensical,build and compile,and compile currently
Hunter Pugh,merge pull request,request 3 from,pull request 3,request 9 from,pull request 9
Husen Lokhandwala Home,table searchadmin profile,searchadmin profile and,profile and issue,and issue book,added table searchadmin
Håvar Henriksen,update norwegian bokmål,pontoon update norwegian,of facebook containerlocalization,norwegian bokmål nbno,nbno localization of
IOhacker,way to manage,to manage fineract,on docker compose,manage fineract cn,fineract cn on
Ido Ben-Hur,revert msm8998common overlay,enable burn in,to 40 since,thingthis reverts commit,statusnavbarthis reverts commit
Ishan Narula,with various cloud,up syncendpoint with,syncendpoint with various,setting up syncendpoint,section on setting
ItsDeltin,variables in indexed,variables as parameters,indexed variables as,in indexed variables,fixed calling variables
JE Low,an issue with,with how the,treated insolvable and,thing they are,they are not
Jack Howard,merge pull request,request 1 from,pull request 1,request 4 from,pull request 4
Jack Zhou,sourcelibencodercodec except ebmdrateestimationh,on files in,in sourcelibencodercodec except,files in sourcelibencodercodec,except ebmdrateestimationh ebintrapredictionc
Jacob Tonna,webspring data jpah2,using java 11added,toolsspring webspring data,the java spring,spring boot repo
Jairo Llopis,be able to,to configure srs,srs sender classes,plus addressing and,log in amavis
Jake,stock span problemboj,span problemboj 1904번,psgeeksforgeeks stock span,problemboj 1904번 01타일,feat 2020년 1월
Jake Witcher,type in languageconfigurationjson,of extlanguage template,languageconfigurationjson of extlanguage,in languageconfigurationjson of,fix type in
James Harrison,run on tomte,results for commit,for commit d5fc15846ba477d0d90ec033dce5b8d4328634a1,d5fc15846ba477d0d90ec033dce5b8d4328634a1 run on,commit d5fc15846ba477d0d90ec033dce5b8d4328634a1 run
James Lentini,update dataintegration from,from 8200342 to,dataintegration from 8200342,8200342 to 8300371,vítor galvão infovitorgalvaocom
Jared Johnson,user from the,the user from,test getreauthaction sets,test getreauthaction dispatches,sets the user
Jarek Potiuk,works on mysql,without portpasswd 6763,the airflow db,shell works on,on mysql without
Jason Darrell Lowe,to improvements in,task progress contributed,task pings are,syslog contributed by,shegalovgitsvnid httpssvnapacheorgreposasfhadoopcommontrunk1558948 13f7953547bb03109956ffa450edef68
Jaz Singh,residuals propupgrade babel,propupgrade babel and,babel and build,and build process,add residuals propupgrade
Jeff Linahan,x vert shouldnt,verts on l2,vert shouldnt be,the bool table,shrinktree delete verts
Jeff Schomay,via another entity,target via another,setlink can lookup,set link via,parser for set
Jennifer Huang,pulsar summit cfp,the link issue,modifications add a,blog to announce,a blog to
Jeremy Moore,the capture folder,capture folder in,yet been set,the sessionadded getprimaryvariant,set as the
Jerome Haltom,which seems doable,to ref struct,struct which seems,ref struct which,changed to ref
Jerome Joof,merge pull request,request 17 from,pull request 17,jjblues86sergevents are working,from jjblues86sergevents are
Jerry Fan,wrong format fec000ffff16650,which might be,when validate hostname,validatehostname in serviceuri,validate hostname which
Jerry Hong,viewadd real explanations,the last slide,the bugginess of,real explanations and,public viewadd real
Jia Zhai,zk nodes already,zk nodes add,will fix this,will failed because,typos in the
Jing Zhao,zhaogitsvnid httpssvnapacheorgreposasfhadoopcommontrunk1559209 13f7953547bb03109956ffa450edef68,version number of,trunk and branch2,to the correct,the inconsistency of
"Joe Garcia, CISSP",split domain local,queries for services,local queries for,for services 117,fix 83 split
Joel Parker Henderson,to change select,demo capability to,change select value,capability to change,add demo capability
Johan,to separate components,result to separate,move chord finder,finder result to,chore move chord
John Leider,add new preset,chorerelease publish s,chorereadme update information,update information for,styles and fix
Jonathan Boiser,js using treesitter,for js using,fix afunction commands,commands for js,afunction commands for
Jono,weebot to portfolio,to portfolio and,server of githubcomjonoaugustineportfolio,portfolio and update,of githubcomjonoaugustineportfolio into
Jorge Pinna Puissant,debug assets in,when the user,only for the,not found when,found when the
Jose Sanchez,merge pull request,way history tab,the way history,tab is handling,is handling saving
Jose24San,way history tab,the way history,tab is handling,is handling saving,history tab is
Josh Bielick,due to the,workspace was the,workdirbeing set during,workdir or cwds,withouthaving to mess
Josh Cummings,merge pull request,upgrade to spring,to spring boot,spring boot 222,refactor test method
Joshua Coales,recent fa changes,parsing after recent,name parsing after,link checking and,fixing datetime checking
João Victor Ramires Guimarães Brito,submit button if,refactoring disable submit,if validation fails,disable submit button,button if validation
JumHorn,reconstruct a 2row,matrix beats 8947,binary matrix beats,a 2row binary,2row binary matrix
Justin,will be called,which returns the,when exporting data,user this will,ui to multitrackeradded
Justin Mooney,version not specified,react version not,not specified warning,fix eslint react,eslint react version
Kamen Stanev,your sites a,you can see,wpcalypso and the,would get the,where you can
Kari Lockwood-Oliver,to nav menu,on all pages,nav menu on,menu on all,changes to nav
Karn Kaul,wrapper for context,wip add glibcxxdebug,use raii wrapper,raii wrapper for,linux debug builds
Kevin McGrevey,worstfansteamid and test,to return expected,test to return,correct worstfansteamid and,and test to
Kevin Nowaczyk,not a variable,key not a,is an array,field is an,array key not
Kevin Tan,merge pull request,request 2 from,pull request 2,from 412 to,handlebars from 412
King Lemming,merge pull request,request 49 from,pull request 49,trinsdargtcxgtcx gtc ic2c,tfarcenimtfarcenimpatch1fix item deletion
Knut Ahlers,seems to be,totaltransportedweight seems to,to be floatsignedoffby,knut ahlers knutahlersme,floatsignedoffby knut ahlers
KorobkaVadim,add duefocus 208,to duefocus cask,field to duefocus,duefocus 208 add,duefocus 208 74866
Krishna Veera Reddy,usage ofatomicsizeinit and,them in the,the usage ofatomicsizeinit,so removing anyoccurences,replaceconsts lint documentationreplaceconsts
Krzysiek,upgrade to spring,to spring boot,spring boot 222,refactor test method,boot 222 and
LXing,removed loading card,loading card fixed,fix errors removed,errors removed loading,card fixed pointerlock
Ladinu Chandrasinghe,merge pull request,sideeffecting nullary methods,request 148 from,pull request 148,ladinumasterremove few sideeffecting
Laksh Bhambhani,to quadruped cuz,switching to quadruped,setup but switching,quadruped cuz of,of power issues
Leonardo Faria,from 4414 to,webpack from 4414,4414 to 4415,bump webpack from,to 4415 coauthoredby
Leonardo de Moura,syntaxnodekinds registered in,syntaxnodekindextensionit contains all,registered in the,in the system,feat add syntaxnodekindextensionit
Leonel Chaves,trae del repositorio,se trae del,repositorio de crios2020,del repositorio de,de crios2020 el
Lisa,war ein stack,und ist nun,stack und ist,nun eine queue,mistake bank war
Loren Gordon,key for github,for github releases,encrypted deploy key,deploy key for,adds encrypted deploy
Lorenzo Mangione,to a mappings,moved enigma files,files to a,enigma files to,a mappings folder
Luca Bomben,update folx from,to 51413922 74927,from 51413921 to,folx from 51413921,51413921 to 51413922
Lucas,zap transformed the,whitecheckmark updated tests,updated tests for,transformed the logger,the logger object
Manny Cortez Studios,who to follow,to follow in,in backend api,follow in backend,added who to
Marc Davies,to make input,make input field,input field clear,field clear on,code to make
Marc Ferland,an issue with,with referenceerror primordials,v11 because of,to node v11,to downgrade to
Marcel Goldschen-Ohm,– visualizing machine,– jay alammar,visualizing machine learning,visual intro to,to numpy and
Marco Castelluccio,ablockingfirefox3ultrablame original commit,ablocking19ultrablame original commit,rmano ablockingfirefox3ultrablame original,reftests for bug,for bug 423998ultrablame
Mariia Pecherytsia,type npm start,to start project,to launch project,then npm start,start to launch
Markus Schirp,merge pull request,request 135 from,request 134 from,readme badges drop,pull request 135
Masahiro Sakamoto,there is a,jackson libraries to,when receiver queue,vulnerability in jacksondatabind,version there is
Mathi Gatti,testing algorithm modifications,modifications and adding,color based on,based on position,and adding color
Matteo Merli,be able to,we need to,zookeepersnapshottrustemptytrue for zk,zk34x from pulsar,zk to make
Matthew J. Hughes,templates and hooked,out html templates,html templates and,hooked up sass,building out html
MatthewTheGlutton,smglib add new,new features in,in random spawns,features in random,add new features
Max Kuhn,using procroc due,to using procroc,procroc due to,move back to,due to jackstatmodelmetrics29
Maxim Laikine,merge branch master,usersmlaikinesenderdynamic2 conflicts packagesazureservicessrcindexts,master into usersmlaikinesenderdynamic2,into usersmlaikinesenderdynamic2 conflicts,conflicts packagesazureservicessrcindexts packagesservicelibrarysrcindexts
Mazdak Farrokhzad,and will be,the type is,wrong and will,wouldleak the fact,wordingthe existing wording
Michael BAILLY,the overall file,the linshareuiuser frontend,system layout of,overall file system,of the linshareuiuser
Michael Babienco,with border and,transparent color with,show transparent color,color with border,border and strike
Michael Belousov,untested base of,of boat physics,completed untested base,boat physics tick,base of boat
Michael Skowronski,will see all,when someone on,usage instructions as,they will see,these bat files
Michael W. Olesen,merge pull request,request 12 from,pull request 12,request 10 from,pull request 10
Mikazuki,update emotion monorepo,monorepo to v10027,emotion monorepo to,v10027 coauthoredby renovate,v10027 25fixdeps update
Mike King,style loginoutsignup forms,poking around with,navbar fix poking,loginoutsignup forms navbar,forms navbar fix
Mike Lindner,very close to,value are very,stretch octave noise,range because value,octave noise range
Mircea (Mark) Halmagiu,instead of the,using the issues,the pulls api,the issues api,of the pulls
Mohamed Deerow,triggered when a,is triggered when,build docker containers,with prbuild prbranchname,when a pull
Mohammad S Anwar,updated github commits,summary section data,github commits summary,commits summary section, updated github
Mostapha,update for the,the latest release,release jan 1,latest release jan,jan 1 2020
Mulang Su,tried to fixed,to fixed a,method from a,from a so,fixed a draw
Nando Vieira,you want to,want to restore,to restore the,the previous detection,strategythis is a
Nate Prewitt,merge pull request,to requeststhreads in,requeststhreads in communityrecommended,request 5250 from,pull request 5250
Nate Roundy,to the meet,the meet up,meet up details,animation to the,added animation to
Nathan Mills,without any test,trivial rework code,this change is,rework code cleanup,is a trivial
Nathan Seidle,to begin function,setup to begin,redundant iom setup,move redundant iom,iom setup to
Nebbie Zebbie,to ban search,search param remembering,remembering for pagination,param remembering for,pagination fix to
Nicholas,merge pull request,request 171 from,pull request 171,some display text,from cringeauradevelopmentchanged some
Nick Pappas,merge branch master,branch master of,wrong set options,with container name,use docker inspect
Niclas Olofsson,tag not the,root tag not,return alternative root,not the root,alternative root tag
Nicolas HULEUX,régime donné 1,possible en fonction,payer le moins,fonction dun régime,en fonction dun
Nicolas Lempereur,there is a,would need to,webeditor revert update,update attribute of,to takeinto account
Nicolas Noble,merge pull request,request 174 from,pull request 174,pio devs verilog,nicolasnoblehardwareadding pio devs
Nischal Hada,merge pull request,request 2 from,pull request 2,quizbutton and quizresult,hadanischalfeaturesimplementquizbuttonquizresultimplemented quizbutton and
Noah Klayman,it is not,vueclipluginelectronbuilderi know boilerplates,traditional boilerplate thanks,this is okay,thanks for your
Nora_Wang,update and rename,typespy to summary,to summary of,summary of python,summary of data
NotSorru,updated readmemd to,to play the,to include instructions,scissors game in,rock paper scissors
OPSTestProduction,merge pull request,create a file,file e2edocsbranchproddynamicindexyml at,e2edocsbranchproddynamicindexyml at 20200101,a file e2edocsbranchproddynamicindexyml
Ocean-ey,merge pull request,request 1 from,pull request 1,voice to use,use in pms
Oleg Agafonov,wrong images download,images fixed wrong,images download for,for 6ed set,fixed wrong images
Oscar Esteban,suggestions from code,reviewcoauthoredby chris markiewicz,from code reviewcoauthoredby,code reviewcoauthoredby chris,chris markiewicz effigiesgmailcom
Panzerhandschuh,to data structure,parse of coli,of coli file,full parse of,file to data
Pascal T,merge pull request,request 17 from,pull request 17,from omeggarefactoclirefacto cli,17 from omeggarefactoclirefacto
Paul O'Shea,to home background,parallax fixed on,on mobile added,mobile added 100vh,if parallax fixed
Pete Higgins,pete higgins petepeterhigginsorg,docssignedoffby pete higgins,for api docssignedoffby,dev docssignedoffby pete,api docssignedoffby pete
Peter Mitrano,workweird ui include,ui include setup,setup though ,include setup though,buttons workweird ui
Pierre Zemb,verifying this change,be able to,without any test,trivial rework code,to be able
Pieter Schutz,to new factions,switch to new,new factions and,factions and add,and add new
Ping-Jou Chiang,return empty data,for empty cache,empty data for,data for empty,refactorserializer return empty
Prashant Shrestha,title done moving,real title done,parsing real title,moving to removing,fetching parsing real
PushKK,update femrutsfix error,skip ci update,russian translate fixed,in russian translate,femrutsfix error in
Raboliot Le Gris,zoom that almost,version of zoom,that almost works,of zoom that,fractal first version
Rachid Rezzik,with code from,notebook added with,jupyter notebook added,code from ide,added with code
Rajab Natshah,vardotvarbaseproject latest release,url issue for,the vardotvarbaseproject latest,the updateconfigjson 25,tag by composerprojectjsonurl
Rajendra Pardeshi,the function return,return valueskip ci,putting a null,null check for,issue id 0004230
Randall,yate from 5032,vuescan from 9715,update yate from,update vuescan from,update tinderbox from
Raul Ovalle,spaces but found,of 16 spaces,indentation of 16,found 12 errorindent,fix expected indentation
Rebecca Wallander,visiload t3 loader,visiload t1 loader,update bmxracersa3actually this,this contains a,the other side
Renovate Bot,update dependency comgoogleapiclientgoogleapiclient,to v1307 1916,dependency comgoogleapiclientgoogleapiclient to,comgoogleapiclientgoogleapiclient to v1307,choredeps update dependency
RevonZev,👌 improve golden,sword pickup reset,pickup reset timer,improve golden sword,golden sword pickup
Robert Chou,merge pull request,request 2 from,pull request 2,from robertchou91testupdate readmemd,2 from robertchou91testupdate
Robert Long,use the creator,the scene is,the creator attribution,scene is already,is already published
Robin Unger,when viewed on,viewed on user,view posts page,truncate posts when,to view posts
Roger Chapman,window to max,window arrangements in,the size of,the left tmux,size of the
Ryan Burn,test coverage for,other span construction,for other span,coverage for other,add test coverage
Ryan Davis,merge pull request,ryan davis zenspiderchefio,metaprogramming from controlevalcontext,any of the,the rest of
Ryan Senanayake,being marked as,zeroinit loop to,which caused for,where iterators in,were not being
Ryo Ota,vuecliooo from 411,update vuecliooo from,update update vuecliooo,from 411 to,411 to 412
SakaSun,verifying this change,without any test,trivial rework code,this change is,rework code cleanup
Saket Narayan,workaround for running,tests from the,running of tests,of tests from,from the ide
SandeepAmarnath,merge pull request,request 2 from,pull request 2,vijaymallamastersecond pull request,request ui changes
Sanford Ryza,yarn1496 protocol additions,when hprof mapreducetaskprofilemapreduceparams,via sandy ryzagitsvnid,to allow moving,specified gera shegalov
Sapele Moses,merge pull request,for post and,request 16 from,pull request 16,post and topic
SchizoDuckie,setup and icon,linux setup and,icon fixes 632,fix linux setup,and icon fixes
Scott Buchanan,zooming into 2d,scroll for zooming,on scroll for,into 2d map,implement on scroll
Sean DuBois,wait till they,two peerconnections and,till they exchange,they exchange audiovideo,peerconnections and wait
SeanRen,uniformity diagonal matrixmd,scale or uniformity,right multiply scale,projection matrix left,or uniformity diagonal
Sebastian Kalicki,merge pull request,request 1 from,pull request 1,request 3 from,pull request 3
Sergei Gerasenko,the ability to,to run against,to reflect the,run against rspec,rspec line numbers
